pattern_id,mutation_1,mutation_2,individual_frequency_1,individual_frequency_2,joint_frequency,sample_count,rarity_category,stage1_error_rate,stage2_error_rate,stage3_error_rate,stage4_error_rate,disagreement_rate,candidate_stress_test
PAT-MUT-001,EGFR,NONE/UNKNOWN,0.262166,0.598241,0.101554,889,common,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-002,KRAS,NONE/UNKNOWN,0.247087,0.598241,0.095499,836,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-003,NONE/UNKNOWN,TP53,0.598241,0.186772,0.066027,578,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-004,ALK,NONE/UNKNOWN,0.14679,0.598241,0.050034,438,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-005,NONE/UNKNOWN,WILD-TYPE,0.598241,0.208248,0.045236,396,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-006,BRAF,NONE/UNKNOWN,0.131711,0.598241,0.043066,377,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-007,EGFR,WILD-TYPE,0.262166,0.208248,0.03724,326,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-008,KRAS,WILD-TYPE,0.247087,0.208248,0.032442,284,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-009,NONE/UNKNOWN,ROS1,0.598241,0.111378,0.0313,274,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-010,MET,NONE/UNKNOWN,0.107608,0.598241,0.030957,271,uncommon,0.38,0.18,0.14,0.05,0.15,False
PAT-MUT-011,TP53,WILD-TYPE,0.186772,0.208248,0.023418,205,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-012,EGFR,KRAS,0.262166,0.247087,0.021362,187,rare,0.6,0.3,0.35,0.5,0.52,True
PAT-MUT-013,EGFR,TP53,0.262166,0.186772,0.020219,177,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-014,KRAS,TP53,0.247087,0.186772,0.017249,151,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-015,ALK,WILD-TYPE,0.14679,0.208248,0.017021,149,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-016,BRAF,WILD-TYPE,0.131711,0.208248,0.015764,138,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-017,ALK,EGFR,0.14679,0.262166,0.015193,133,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-018,EGFR,MET,0.262166,0.107608,0.01485,130,rare,0.52,0.3,0.55,0.65,0.58,True
PAT-MUT-019,ALK,KRAS,0.14679,0.247087,0.014622,128,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-020,BRAF,EGFR,0.131711,0.262166,0.014393,126,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-021,BRAF,KRAS,0.131711,0.247087,0.014165,124,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-022,KRAS,ROS1,0.247087,0.111378,0.014165,124,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-023,EGFR,ROS1,0.262166,0.111378,0.013137,115,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-024,ROS1,WILD-TYPE,0.111378,0.208248,0.013023,114,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-025,KRAS,MET,0.247087,0.107608,0.012908,113,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-026,BRAF,TP53,0.131711,0.186772,0.010966,96,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-027,MET,WILD-TYPE,0.107608,0.208248,0.010852,95,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-028,ALK,TP53,0.14679,0.186772,0.010852,95,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-029,ALK,BRAF,0.14679,0.131711,0.010738,94,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-030,MET,TP53,0.107608,0.186772,0.010395,91,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-031,ROS1,TP53,0.111378,0.186772,0.009824,86,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-032,ALK,MET,0.14679,0.107608,0.008796,77,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-033,ALK,ROS1,0.14679,0.111378,0.008568,75,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-034,BRAF,MET,0.131711,0.107608,0.007082,62,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-035,BRAF,ROS1,0.131711,0.111378,0.006854,60,rare,0.52,0.3,0.35,0.48,0.45,True
PAT-MUT-036,MET,ROS1,0.107608,0.111378,0.005826,51,rare,0.52,0.3,0.35,0.48,0.45,True
