feature,importance,rank
previous_adverse_event_True,0.16081885,1
prior_toxicity_risk_flag,0.061326873,2
previous_toxicity_grade,0.029622769,3
cancer_stage_Stage IV,0.019238366,4
mutation_primary_TP53,0.012674628,5
mutation_primary_KRAS,0.012309489,6
hemoglobin,0.011721492,7
drug_name_Atezolizumab,0.010887004,8
drug_name_Alectinib,0.010245847,9
drug_dose,0.009820536,10
white_blood_cell_count,0.009688857,11
drug_name_Osimertinib,0.009674157,12
comorbidity_age_interaction,0.009660078,13
cumulative_treatment_load,0.009517071,14
drug_name_NIVOLUMAB,0.009406684,15
drug_name_Paclitaxel,0.009177067,16
mutation_primary_MET,0.009136482,17
hematologic_risk_flag,0.009126234,18
mutation_secondary_BRAF,0.009011271,19
drug_name_PACLITAXEL+BEVACIZUMAB,0.009001929,20
mutation_secondary_MET,0.008968248,21
tumor_biomarker_index,0.008851582,22
drug_name_Radiotherapy-SBRT,0.008796564,23
cancer_stage_Stage II,0.008741984,24
mutation_secondary_EGFR,0.00858629,25
comorbidity_count,0.008520465,26
previous_treatment_count,0.008496462,27
mutation_primary_None/Unknown,0.00847992,28
ctdna_level,0.008460636,29
diastolic_bp,0.008457775,30
genomic_instability_score,0.008440324,31
mutation_secondary_KRAS,0.008423073,32
blood_pressure_ratio,0.008129625,33
organ_impairment_index,0.008056967,34
mutation_primary_BRAF,0.008056358,35
liver_function_marker,0.008036098,36
treatment_type_Combination,0.008017639,37
creatinine_level,0.008016557,38
platelet_count,0.008015149,39
mutation_primary_ROS1,0.008009002,40
drug_name_Nivolumab,0.00795513,41
biomarker_severity_weight,0.007850689,42
tumor_marker_level,0.007826345,43
smoking_history_Former,0.0078167245,44
drug_name_Carboplatin+Pembrolizumab,0.0077930135,45
pulse_pressure,0.0077714007,46
drug_name_Radiotherapy-Standard,0.007681584,47
gene_expression_score,0.0076807956,48
smoking_history_Never,0.007668827,49
sex_Unknown,0.0076567093,50
drug_name_Crizotinib,0.0076220445,51
heart_rate,0.0076073552,52
treatment_type_Radiation,0.007592226,53
cancer_type_Prostate Cancer,0.007588882,54
mutation_primary_Wild-type,0.0075835153,55
sex_Male,0.0075649912,56
cancer_type_SCLC,0.0075635007,57
drug_name_Docetaxel,0.0075222016,58
age,0.00750862,59
mutation_secondary_ROS1,0.007508223,60
inflammation_marker,0.0074967453,61
drug_name_Dabrafenib,0.007491159,62
oxygen_saturation,0.0074716215,63
biomarker_trend_Increasing,0.0074497648,64
mutation_burden,0.0074459277,65
systolic_bp,0.00736891,66
vital_instability_score,0.007335999,67
treatment_cycle,0.007319175,68
mutation_secondary_Wild-type,0.0072782994,69
cancer_type_Colorectal Cancer,0.007269853,70
cancer_type_NSCLC,0.0072156284,71
drug_name_Pemetrexed,0.0072085722,72
mutation_secondary_TP53,0.007175734,73
biomarker_trend_Stable,0.0071673826,74
drug_name_Paclitaxel+Bevacizumab,0.007052108,75
drug_name_Cisplatin,0.0069892644,76
mutation_secondary_None/Unknown,0.006882138,77
cancer_stage_Stage III,0.00683225,78
drug_name_CISPLATIN+PEMETREXED,0.006739873,79
smoking_history_Unknown,0.0067043663,80
drug_name_Pembrolizumab,0.006633483,81
treatment_type_Immunotherapy,0.0066178273,82
biomarker_trend_Unknown,0.006421538,83
drug_name_Cisplatin+Pemetrexed,0.0063051893,84
cancer_type_Unknown,0.006180977,85
treatment_type_Targeted Therapy,0.006167353,86
drug_name_Carboplatin,0.006109228,87
drug_name_radiotherapy-standard,0.005951717,88
drug_name_paclitaxel+bevacizumab,0.0058011673,89
mutation_primary_EGFR,0.005706243,90
drug_name_DABRAFENIB,0.005681339,91
drug_name_CRIZOTINIB,0.005567917,92
cancer_type_Melanoma,0.005542926,93
drug_name_PEMETREXED,0.0055256677,94
drug_name_DOCETAXEL,0.005466133,95
drug_name_Durvalumab,0.005311775,96
drug_name_RADIOTHERAPY-STANDARD,0.0050926693,97
drug_name_Erlotinib,0.003032853,98
drug_name_CARBOPLATIN+PEMBROLIZUMAB,0.0,99
drug_name_CARBOPLATIN,0.0,100
drug_name_PEMBROLIZUMAB,0.0,101
drug_name_DURVALUMAB,0.0,102
drug_name_PACLITAXEL,0.0,103
drug_name_OSIMERTINIB,0.0,104
drug_name_ERLOTINIB,0.0,105
drug_name_carboplatin+pembrolizumab,0.0,106
drug_name_Radiotherapy SBRT,0.0,107
drug_name_RADIOTHERAPY-SBRT,0.0,108
drug_name_cisplatin+pemetrexed,0.0,109
drug_name_nivolumab,0.0,110
drug_name_dabrafenib,0.0,111
drug_name_crizotinib,0.0,112
drug_name_radiotherapy-sbrt,0.0,113
