metric,value
patient_count,1000
train_patient_count,700
val_patient_count,150
test_patient_count,150
tile_count,12000
tiles_benign,4000
tiles_malignant,4000
tiles_inflammation,4000
tiles_train,8400
tiles_val,1800
tiles_test,1800
image_height,224
image_width,224
image_channels,3
biomarker_observation_count,16012
observations_per_patient_mean,16.01
historical_input_observations,7229
future_prediction_observations,8783
forecast_30d_targets_available,13273
duplicate_image_count,0
duplicate_percentage,0.00%
data_source,synthetic
random_seed,42
overall_status,PASSED
