epoch,training_loss,validation_loss,selection_score
1,0.015184783306377497,4.240347334416583e-05,1.0
2,0.00010113849496043431,1.122946196119301e-05,1.0
3,4.070033878980169e-05,3.0328917546285084e-06,1.0
4,1.8449797657272677e-05,1.1985621313215233e-06,1.0
5,1.4671337931282497e-05,8.047782671383175e-07,1.0
6,1.0233548114770417e-05,5.207377853366779e-07,1.0
7,6.903510936538061e-06,2.496761339898512e-07,1.0
8,5.567439786854525e-06,1.5907754402633145e-07,1.0
9,6.000270676203118e-06,1.1006960676240851e-07,1.0
10,3.2427174919494713e-06,8.470460954868031e-08,1.0
