epoch,training_loss,validation_loss,selection_score
1,0.023592422977477934,0.00014906613796483725,1.0
2,0.0003347054848771742,3.2361538615077734e-05,1.0
3,0.0001244711811020915,1.2773954040312674e-05,1.0
4,7.081146291186866e-05,6.569617653440218e-06,1.0
5,4.410503869751535e-05,3.4094041438947897e-06,1.0
6,3.810559831002874e-05,3.296503336969181e-06,1.0
7,1.9306858394624473e-05,1.4163306332193315e-06,1.0
8,1.701703844035018e-05,1.066520326276077e-06,1.0
9,1.2388816568913865e-05,7.693600423408498e-07,1.0
10,1.0309603733709255e-05,5.744548161601415e-07,1.0
