epoch,training_loss,validation_loss,selection_score
1,0.013859999111342143,1.4288523743744008e-05,1.0
2,7.481316901162028e-05,3.4837357816286385e-06,1.0
3,4.777248937985167e-05,9.842692634265404e-07,1.0
4,2.298055604482908e-05,9.33141734549281e-07,1.0
5,1.5016628423858319e-05,3.1888464491203194e-07,1.0
6,9.33198778408864e-06,1.6901221044918202e-07,1.0
7,6.461030373922464e-06,1.0887778501000867e-07,1.0
8,5.256281392657261e-06,6.417432274474777e-08,1.0
9,5.69722314402216e-06,9.265209399700325e-08,1.0
10,3.6758444520317077e-06,5.728667673565724e-08,1.0
