model,split,domain,n,accuracy,precision,recall,f1,roc_auc,pr_auc,total_parameters,trainable_parameters,training_seconds,extraction_seconds,inference_ms_per_tile,weights,ece,brier,mae,rmse,r2,seed,inference_ms_per_patient
resnet18,validation,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,11242563.0,66051.0,11.983207100012805,1214.7116911999183,77.56962549998813,ResNet18_Weights.IMAGENET1K_V1,,,,,,,
resnet18,test,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,11242563.0,66051.0,11.983207100012805,1214.7116911999183,35.280477166654435,ResNet18_Weights.IMAGENET1K_V1,,,,,,,
resnet50,validation,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,23770691.0,262659.0,58.25616019999143,2216.9359615999856,90.68970866666253,ResNet50_Weights.IMAGENET1K_V2,,,,,,,
resnet50,test,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,23770691.0,262659.0,58.25616019999143,2216.9359615999856,118.11343444443385,ResNet50_Weights.IMAGENET1K_V2,,,,,,,
efficientnet_b0,validation,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,4171903.0,164355.0,24.354821800021455,1521.180079600017,73.72786150000239,EfficientNet_B0_Weights.IMAGENET1K_V1,,,,,,,
efficientnet_b0,test,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,4171903.0,164355.0,24.354821800021455,1521.180079600017,63.09666849999404,EfficientNet_B0_Weights.IMAGENET1K_V1,,,,,,,
vit,validation,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,85897475.0,98819.0,40.06572850001976,22317.023344199988,267.91359049998897,ViT_B_16_Weights.IMAGENET1K_V1,,,,,,,
vit,test,tile histology,1800,1.0,1.0,1.0,1.0,1.0,1.0,85897475.0,98819.0,40.06572850001976,22317.023344199988,343.79283777777647,ViT_B_16_Weights.IMAGENET1K_V1,,,,,,,
bilstm,validation,progression and ctDNA,148,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,148098.0,,30.227803600020707,,,,0.0020359639138159517,9.851239247505942e-06,0.20956220170734702,0.29113710305131413,0.9558802194644349,42.0,0.5276121621529849
bilstm,test,progression and ctDNA,148,1.0,1.0,1.0,1.0,1.0,1.0,148098.0,,30.227803600020707,,,,0.0019395786111016532,8.796531438252818e-06,0.22780049390889504,0.3204899712020154,0.9482235451675209,42.0,0.44529932445682885
transformer,validation,progression and ctDNA,148,0.9391891891891891,0.9166666666666666,0.9322033898305084,0.9243697478991597,0.9933346029327748,0.9904692619479574,78530.0,,31.250365399988368,,,,0.05606701976393123,0.03627004278554425,0.4483891306193294,0.6148720157413267,0.8032078881028792,42.0,0.8561743244000182
transformer,test,progression and ctDNA,148,0.9527027027027027,0.9076923076923077,0.9833333333333333,0.944,0.9922348484848486,0.9874093045017479,78530.0,,31.250365399988368,,,,0.03218474298262517,0.0340767652439539,0.40806621876922816,0.5816839219280079,0.8294398606577823,42.0,0.8469939190969878
mil_mean,validation,patient histology,150,1.0,1.0,1.0,1.0,1.0,1.0,,,8.845605300040916,,,,,,,,,,
mil_mean,test,patient histology,150,0.9866666666666667,0.9862528344671202,0.9870244394053919,0.9865732421842323,0.9995959259722319,0.999175145021035,,,8.845605300040916,,,,,,,,,,
mil_median,validation,patient histology,150,0.9533333333333334,0.9556603266709649,0.9534480458850206,0.9534030784030784,0.9965333000767064,0.9934297288399301,,,2.868396300007589,,,,,,,,,,
mil_median,test,patient histology,150,0.9733333333333334,0.9739108409321174,0.9724996381531336,0.9729583064689448,0.9985213684656548,0.9971215343943437,,,2.868396300007589,,,,,,,,,,
mil_max,validation,patient histology,150,0.7466666666666667,0.7526939506683202,0.746984126984127,0.745063989180463,0.8748652296015248,0.7936101589870571,,,2.6947546000010334,,,,,,,,,,
mil_max,test,patient histology,150,0.7466666666666667,0.7449756831177542,0.7437427295583324,0.743920852543473,0.8829577359130534,0.7945932972206308,,,2.6947546000010334,,,,,,,,,,
mil_attention,validation,patient histology,150,0.9933333333333333,0.9935897435897436,0.9931972789115647,0.993327327928469,0.9998666666666667,0.9997332799786584,,,3.0794056999729946,,,,,,,,,,
mil_attention,test,patient histology,150,0.98,0.98,0.979591836734694,0.9791644058600109,0.9994551601157949,0.9988646385262342,,,3.0794056999729946,,,,,,,,,,
r18_bilstm_fixed,validation,progression and ctDNA,148,0.9797297297297297,1.0,0.9491525423728814,0.9739130434782609,1.0,0.9999999999999998,,,,,,,0.2338844841295803,0.07721203636359646,0.20956220170734702,0.29113710305131413,0.9558802194644349,,
r18_bilstm_fixed,test,progression and ctDNA,148,0.9527027027027027,1.0,0.8833333333333333,0.9380530973451328,1.0,1.0,,,,,,,0.2565958729466877,0.09064547031533027,0.22780049390889504,0.3204899712020154,0.9482235451675209,,
