model,condition,metric,clean,perturbed,absolute_degradation,percentage_degradation
resnet18,brightness_minus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet18,brightness_plus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet18,contrast_minus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet18,contrast_plus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet18,stain,tile_macro_f1,1.0,1.0,0.0,0.0
resnet18,blur,tile_macro_f1,1.0,0.9966665833312499,0.003333416668750089,0.3333416668750089
resnet18,noise,tile_macro_f1,1.0,1.0,0.0,0.0
resnet18,compression,tile_macro_f1,1.0,1.0,0.0,0.0
resnet18,morphology,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,brightness_minus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,brightness_plus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,contrast_minus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,contrast_plus,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,stain,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,blur,tile_macro_f1,1.0,0.9643430201461936,0.03565697985380645,3.5656979853806448
resnet50,noise,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,compression,tile_macro_f1,1.0,1.0,0.0,0.0
resnet50,morphology,tile_macro_f1,1.0,1.0,0.0,0.0
bilstm,missing_visits,f1,1.0,0.9915966386554622,0.008403361344537785,0.8403361344537785
bilstm,missing_visits,mae,0.22780049390889504,0.349983969854342,0.12218347594544696,53.636176923440814
bilstm,short_histories,f1,1.0,0.9285714285714286,0.0714285714285714,7.14285714285714
bilstm,short_histories,mae,0.22780049390889504,0.6527826081256609,0.4249821142167659,186.5589081587902
bilstm,irregular_intervals,f1,1.0,1.0,0.0,0.0
bilstm,irregular_intervals,mae,0.22780049390889504,0.24468729544330287,0.01688680153440783,7.412978455244887
bilstm,measurement_noise,f1,1.0,1.0,0.0,0.0
bilstm,measurement_noise,mae,0.22780049390889504,0.27723333279828766,0.04943283888939262,21.700057818646542
bilstm,temporary_spikes,f1,1.0,0.9375,0.0625,6.25
bilstm,temporary_spikes,mae,0.22780049390889504,0.4505994150767455,0.22279892116785047,97.80440654222424
bilstm,outliers,f1,1.0,1.0,0.0,0.0
bilstm,outliers,mae,0.22780049390889504,0.30233025329338536,0.07452975938449033,32.71711931155744
bilstm,missing_biomarkers,f1,1.0,1.0,0.0,0.0
bilstm,missing_biomarkers,mae,0.22780049390889504,0.27566111611353383,0.0478606222046388,21.009885177764296
transformer,missing_visits,f1,0.944,0.9523809523809523,-0.008380952380952378,-0.8878127522195316
transformer,missing_visits,mae,0.40806621876922816,0.40924024481225657,0.0011740260430284088,0.2877047863872188
transformer,short_histories,f1,0.944,0.0,0.944,100.0
transformer,short_histories,mae,0.40806621876922816,1.136629637431454,0.7285634186622258,178.54048807560005
transformer,irregular_intervals,f1,0.944,0.9523809523809523,-0.008380952380952378,-0.8878127522195316
transformer,irregular_intervals,mae,0.40806621876922816,0.4086576726388287,0.0005914538696005223,0.14494065972537767
transformer,measurement_noise,f1,0.944,0.9354838709677419,0.008516129032258068,0.9021323127392022
transformer,measurement_noise,mae,0.40806621876922816,0.47299761848675237,0.06493139971752421,15.911976226153769
transformer,temporary_spikes,f1,0.944,0.9180327868852459,0.02596721311475403,2.750764101139198
transformer,temporary_spikes,mae,0.40806621876922816,0.49640607914409124,0.08833986037486308,21.648413005444475
transformer,outliers,f1,0.944,0.944,0.0,0.0
transformer,outliers,mae,0.40806621876922816,0.4546528766686852,0.04658665789945704,11.41644560531559
transformer,missing_biomarkers,f1,0.944,0.9147286821705426,0.029271317829457355,3.100775193798449
transformer,missing_biomarkers,mae,0.40806621876922816,0.5571431692790341,0.1490769505098059,36.532538998067054
fusion_concat_mlp,FULL_MULTIMODAL,f1,0.9516129032258065,0.9516129032258065,0.0,0.0
fusion_concat_mlp,FULL_MULTIMODAL,mae,0.40981369606546453,0.40981369606546453,0.0,0.0
fusion_concat_mlp,PATHOLOGY_ONLY,f1,0.9516129032258065,0.11594202898550725,0.8356708742402993,87.81626136084502
fusion_concat_mlp,PATHOLOGY_ONLY,mae,0.40981369606546453,1.1716902139219079,0.7618765178564433,185.90801751407048
fusion_concat_mlp,TEMPORAL_ONLY,f1,0.9516129032258065,0.944,0.007612903225806544,0.8000000000000097
fusion_concat_mlp,TEMPORAL_ONLY,mae,0.40981369606546453,0.4925205881732541,0.08270689210778959,20.181583217408576
fusion_concat_mlp,INSUFFICIENT_DATA,prediction_coverage,1.0,0.0,1.0,100.0
