method,feature,clean_f1,perturbed_f1,signed_f1_drop
permutation,ctDNA_vaf_percent,0.944,0.773109243697479,0.17089075630252093
feature_ablation,ctDNA_vaf_percent,0.944,0.673469387755102,0.27053061224489794
permutation,cea_ng_ml,0.944,0.7603305785123967,0.18366942148760323
feature_ablation,cea_ng_ml,0.944,0.6782608695652174,0.2657391304347826
permutation,ca125_u_ml,0.944,0.6829268292682927,0.2610731707317072
feature_ablation,ca125_u_ml,0.944,0.8053691275167785,0.13863087248322148
permutation,ldh_u_l,0.944,0.9,0.04399999999999993
feature_ablation,ldh_u_l,0.944,0.9230769230769231,0.020923076923076822
permutation,crp_mg_l,0.944,0.9206349206349206,0.023365079365079366
feature_ablation,crp_mg_l,0.944,0.8823529411764706,0.06164705882352939
permutation,ctDNA_velocity_30d,0.944,0.96,-0.016000000000000014
feature_ablation,ctDNA_velocity_30d,0.944,0.944,0.0
permutation,delta_days,0.944,0.944,0.0
feature_ablation,delta_days,0.944,0.9302325581395349,0.01376744186046508
permutation,days_from_baseline,0.944,0.9523809523809523,-0.008380952380952378
feature_ablation,days_from_baseline,0.944,0.6976744186046512,0.24632558139534877
permutation,ctDNA_missing,0.944,0.944,0.0
feature_ablation,ctDNA_missing,0.944,0.944,0.0
permutation,cea_missing,0.944,0.944,0.0
feature_ablation,cea_missing,0.944,0.944,0.0
permutation,ca125_missing,0.944,0.944,0.0
feature_ablation,ca125_missing,0.944,0.9448818897637795,-0.0008818897637795642
permutation,ldh_missing,0.944,0.944,0.0
feature_ablation,ldh_missing,0.944,0.944,0.0
permutation,crp_missing,0.944,0.944,0.0
feature_ablation,crp_missing,0.944,0.944,0.0
visit_occlusion,visit_index_0,0.944,0.0,0.944
visit_occlusion,visit_index_1,0.944,0.9302325581395349,0.01376744186046508
visit_occlusion,visit_index_2,0.944,0.9302325581395349,0.01376744186046508
visit_occlusion,visit_index_3,0.944,0.9302325581395349,0.01376744186046508
visit_occlusion,visit_index_4,0.944,0.9302325581395349,0.01376744186046508
visit_occlusion,visit_index_5,0.944,0.9230769230769231,0.020923076923076822
visit_occlusion,visit_index_6,0.944,0.6382978723404256,0.3057021276595744
visit_occlusion,visit_index_7,0.944,0.8137931034482758,0.13020689655172413
visit_occlusion,visit_index_8,0.944,0.944,0.0
visit_occlusion,visit_index_9,0.944,0.944,0.0
