patient_id,0,1,2,3,4,5,6,7,8,9,10,11
PAT-0001,0.07402459,0.098700225,0.08045188,0.070627905,0.099498145,0.070627905,0.06741979,0.09986427,0.070627905,0.09839509,0.09913429,0.070627905
PAT-0002,0.07761248,0.07761248,0.07761248,0.11074694,0.107953,0.07917248,0.07917248,0.076547705,0.07761248,0.07917248,0.07761248,0.07917248
PAT-0003,0.09781147,0.09428349,0.07355265,0.094661154,0.077534676,0.09781147,0.07355265,0.09781147,0.07355265,0.077534676,0.068341,0.07355265
PAT-0004,0.08520251,0.08624276,0.08520251,0.062473435,0.08523786,0.08497956,0.08497956,0.08427738,0.08520251,0.08497956,0.08497956,0.08624276
PAT-0005,0.08429647,0.08359159,0.06343485,0.08429647,0.08808443,0.08808443,0.0836587,0.0855875,0.08311408,0.0836587,0.08860116,0.08359159
PAT-0011,0.090765044,0.06735172,0.08982213,0.08982213,0.06735172,0.08790719,0.08679228,0.08881043,0.08881043,0.08679228,0.067867465,0.08790719
PAT-0012,0.087460116,0.08736279,0.08736279,0.08604049,0.08671139,0.087837085,0.08736279,0.08736279,0.06332953,0.087837085,0.08640537,0.06492777
PAT-0013,0.08630018,0.08698804,0.08630018,0.06406482,0.086748414,0.086748414,0.089266695,0.06406482,0.086748414,0.086748414,0.08855671,0.08746483
PAT-0014,0.08713064,0.085176624,0.08713064,0.083938785,0.08713064,0.083938785,0.085176624,0.083938785,0.08517462,0.08419571,0.08713064,0.05993744
PAT-0015,0.10116543,0.07676685,0.079858825,0.07973936,0.07973936,0.0744456,0.0744456,0.10479399,0.07973936,0.100414455,0.0744456,0.0744456
PAT-0016,0.08761946,0.06430728,0.08812623,0.061638594,0.08761946,0.08953853,0.08953853,0.08536009,0.0863827,0.0863827,0.08536009,0.08812623
PAT-0017,0.09089985,0.06266984,0.08570267,0.08662145,0.08757681,0.08570267,0.08570267,0.087356076,0.08757681,0.08662145,0.06266984,0.09089985
PAT-0018,0.088345274,0.060483076,0.087732166,0.087732166,0.087732166,0.087712385,0.085532255,0.087732166,0.088345274,0.086353205,0.06490651,0.08739336
PAT-0019,0.075692244,0.076147676,0.075692244,0.076147676,0.10114573,0.10234008,0.10612955,0.076147676,0.080360435,0.07673222,0.07673222,0.07673222
PAT-0020,0.08444499,0.08444499,0.085173875,0.08515676,0.08614552,0.08444499,0.06385413,0.086499885,0.086499885,0.08444499,0.08444499,0.08444499
PAT-0021,0.06454465,0.09500302,0.09138942,0.09061139,0.09199217,0.09138942,0.09469089,0.09500302,0.06454465,0.06538908,0.06538908,0.09005326
PAT-0022,0.08953491,0.08546423,0.08569813,0.08688791,0.08569813,0.08688791,0.08896032,0.06449487,0.08617188,0.08953491,0.06449487,0.08617188
PAT-0023,0.06816854,0.090454586,0.06816854,0.09210329,0.06816854,0.08827494,0.090454586,0.08827494,0.069008864,0.094365336,0.09210329,0.090454586
PAT-0024,0.06924272,0.06924272,0.10246443,0.076991975,0.10113177,0.103237025,0.07400308,0.103237025,0.076991975,0.07448577,0.07448577,0.07448577
PAT-0025,0.07239698,0.06770038,0.09645365,0.06823104,0.06823104,0.09823017,0.06770038,0.09645365,0.10124753,0.09742454,0.09823017,0.06770038
PAT-0026,0.09418243,0.07815797,0.07815797,0.071367785,0.07648854,0.07815797,0.09917897,0.09831234,0.09831234,0.071367785,0.07815797,0.07815797
PAT-0027,0.075128525,0.075128525,0.08561003,0.103512876,0.075805716,0.070782274,0.10335274,0.08561003,0.075805716,0.075128525,0.10335274,0.070782274
PAT-0028,0.084273964,0.084273964,0.08490535,0.085025676,0.08652825,0.064372554,0.08589223,0.08586658,0.08586658,0.084273964,0.08444691,0.084273964
PAT-0029,0.08299394,0.08237082,0.08445529,0.08237082,0.0844972,0.08299394,0.08373191,0.08237082,0.084939755,0.084939755,0.08208556,0.08225023
PAT-0030,0.085294686,0.08156988,0.08156988,0.11170588,0.08025128,0.078123175,0.078123175,0.08156988,0.08025128,0.085294686,0.078123175,0.078123175
PAT-0031,0.084081076,0.084718026,0.084081076,0.085644424,0.084081076,0.084960885,0.085644424,0.085644424,0.08298107,0.08598796,0.085644424,0.06653115
PAT-0032,0.084390044,0.08604249,0.060968913,0.086742945,0.08626167,0.08570871,0.08604249,0.08604249,0.08536894,0.08536894,0.08353116,0.08353116
PAT-0033,0.083291456,0.08127293,0.08416132,0.08363456,0.083291456,0.08363456,0.08388757,0.08401191,0.08127293,0.08401191,0.08401191,0.08351741
PAT-0034,0.08798306,0.06051519,0.08460311,0.08460311,0.08910171,0.087959565,0.08798306,0.087718114,0.087959565,0.08898065,0.087718114,0.06487483
PAT-0035,0.090096876,0.08654515,0.08654515,0.087745115,0.08654515,0.06245619,0.08654515,0.08654515,0.06348745,0.08654515,0.089198396,0.087745115
PAT-0046,0.10345873,0.07760529,0.08242102,0.08375919,0.07760529,0.07760529,0.08375919,0.10348348,0.07760529,0.08375919,0.07133268,0.07760529
PAT-0047,0.106228486,0.07097012,0.07097012,0.08149503,0.08514653,0.077404425,0.08514653,0.10893045,0.077404425,0.077404425,0.08149503,0.077404425
PAT-0048,0.096693404,0.09951086,0.09639355,0.07184169,0.07557528,0.07557528,0.07212675,0.09639355,0.07236718,0.09902854,0.07236718,0.07212675
PAT-0049,0.07098265,0.09417163,0.09417163,0.076466285,0.09590155,0.06741917,0.06949951,0.09590155,0.06741917,0.09590155,0.09569905,0.076466285
PAT-0050,0.06595474,0.09111213,0.08947889,0.087246865,0.09103236,0.08947889,0.09001672,0.09001672,0.08947889,0.063776046,0.09054375,0.061863933
PAT-0051,0.08874782,0.08741734,0.06855983,0.08776222,0.08741734,0.08780246,0.088086195,0.089807965,0.08776222,0.06855983,0.088086195,0.06999052
PAT-0052,0.077073805,0.074844405,0.077073805,0.077073805,0.07970474,0.10443581,0.108072996,0.074113354,0.074113354,0.10380515,0.074844405,0.074844405
PAT-0053,0.08597985,0.08597985,0.08597985,0.08395728,0.08597985,0.08544934,0.08395728,0.08395728,0.061809395,0.08548509,0.08548509,0.08597985
PAT-0054,0.087984584,0.087984584,0.090518154,0.087984584,0.087984584,0.08956651,0.08956651,0.067917556,0.0902216,0.067917556,0.06278724,0.08956651
PAT-0055,0.09374608,0.08781676,0.0694104,0.08781676,0.08781676,0.08781676,0.06594953,0.089597926,0.08781676,0.06341316,0.08844788,0.090351164
PAT-0056,0.107867576,0.10805305,0.08429676,0.08127409,0.08429676,0.071086,0.08429676,0.08429676,0.08127409,0.071086,0.071086,0.071086
PAT-0057,0.08348393,0.08303592,0.082975484,0.08303592,0.08348393,0.08348393,0.08303592,0.08263051,0.08418757,0.08348393,0.082975484,0.08418757
